year,region,causes,number
2015,Thousand Islands,Electricity,1
2015,Thousand Islands,Gas,0
2015,Thousand Islands,Candle,0
2015,Thousand Islands,Burning Trash,0
2015,Thousand Islands,Cigarette,0
2015,Thousand Islands,Others,7
2015,South Jakarta,Electricity,221
2015,South Jakarta,Gas,22
2015,South Jakarta,Candle,0
2015,South Jakarta,Burning Trash,0
2015,South Jakarta,Cigarette,19
2015,South Jakarta,Others,112
2015,East Jakarta,Electricity,197
2015,East Jakarta,Gas,26
2015,East Jakarta,Candle,0
2015,East Jakarta,Burning Trash,0
2015,East Jakarta,Cigarette,28
2015,East Jakarta,Others,137
2015,Central Jakarta,Electricity,117
2015,Central Jakarta,Gas,17
2015,Central Jakarta,Candle,0
2015,Central Jakarta,Burning Trash,0
2015,Central Jakarta,Cigarette,7
2015,Central Jakarta,Others,40
2015,West Jakarta,Electricity,198
2015,West Jakarta,Gas,21
2015,West Jakarta,Candle,0
2015,West Jakarta,Burning Trash,0
2015,West Jakarta,Cigarette,31
2015,West Jakarta,Others,119
2015,North Jakarta,Electricity,139
2015,North Jakarta,Gas,18
2015,North Jakarta,Candle,0
2015,North Jakarta,Burning Trash,0
2015,North Jakarta,Cigarette,11
2015,North Jakarta,Others,80
2016,Thousand Islands,Electricity,1
2016,Thousand Islands,Gas,0
2016,Thousand Islands,Candle,0
2016,Thousand Islands,Burning Trash,0
2016,Thousand Islands,Cigarette,0
2016,Thousand Islands,Others,2
2016,South Jakarta,Electricity,192
2016,South Jakarta,Gas,26
2016,South Jakarta,Candle,2
2016,South Jakarta,Burning Trash,8
2016,South Jakarta,Cigarette,1
2016,South Jakarta,Others,12
2016,East Jakarta,Electricity,183
2016,East Jakarta,Gas,22
2016,East Jakarta,Candle,1
2016,East Jakarta,Burning Trash,6
2016,East Jakarta,Cigarette,2
2016,East Jakarta,Others,32
2016,Central Jakarta,Electricity,100
2016,Central Jakarta,Gas,16
2016,Central Jakarta,Candle,1
2016,Central Jakarta,Burning Trash,1
2016,Central Jakarta,Cigarette,10
2016,Central Jakarta,Others,13
2016,West Jakarta,Electricity,212
2016,West Jakarta,Gas,27
2016,West Jakarta,Candle,3
2016,West Jakarta,Burning Trash,14
2016,West Jakarta,Cigarette,7
2016,West Jakarta,Others,20
2016,North Jakarta,Electricity,185
2016,North Jakarta,Gas,19
2016,North Jakarta,Candle,0
2016,North Jakarta,Burning Trash,23
2016,North Jakarta,Cigarette,10
2016,North Jakarta,Others,20
2017,Thousand Islands,Electricity,2
2017,Thousand Islands,Gas,2
2017,Thousand Islands,Candle,0
2017,Thousand Islands,Burning Trash,4
2017,Thousand Islands,Cigarette,2
2017,Thousand Islands,Others,6
2017,South Jakarta,Electricity,213
2017,South Jakarta,Gas,45
2017,South Jakarta,Candle,0
2017,South Jakarta,Burning Trash,20
2017,South Jakarta,Cigarette,7
2017,South Jakarta,Others,31
2017,East Jakarta,Electricity,223
2017,East Jakarta,Gas,55
2017,East Jakarta,Candle,1
2017,East Jakarta,Burning Trash,26
2017,East Jakarta,Cigarette,7
2017,East Jakarta,Others,48
2017,Central Jakarta,Electricity,123
2017,Central Jakarta,Gas,29
2017,Central Jakarta,Candle,0
2017,Central Jakarta,Burning Trash,7
2017,Central Jakarta,Cigarette,7
2017,Central Jakarta,Others,23
2017,West Jakarta,Electricity,216
2017,West Jakarta,Gas,27
2017,West Jakarta,Candle,2
2017,West Jakarta,Burning Trash,34
2017,West Jakarta,Cigarette,7
2017,West Jakarta,Others,39
2017,North Jakarta,Electricity,150
2017,North Jakarta,Gas,27
2017,North Jakarta,Candle,2
2017,North Jakarta,Burning Trash,33
2017,North Jakarta,Cigarette,4
2017,North Jakarta,Others,49
2018,Thousand Islands,Electricity,2
2018,Thousand Islands,Gas,4
2018,Thousand Islands,Candle,0
2018,Thousand Islands,Burning Trash,8
2018,Thousand Islands,Cigarette,4
2018,Thousand Islands,Others,2
2018,South Jakarta,Electricity,277
2018,South Jakarta,Gas,46
2018,South Jakarta,Candle,1
2018,South Jakarta,Burning Trash,37
2018,South Jakarta,Cigarette,16
2018,South Jakarta,Others,36
2018,East Jakarta,Electricity,266
2018,East Jakarta,Gas,48
2018,East Jakarta,Candle,2
2018,East Jakarta,Burning Trash,61
2018,East Jakarta,Cigarette,20
2018,East Jakarta,Others,56
2018,Central Jakarta,Electricity,154
2018,Central Jakarta,Gas,31
2018,Central Jakarta,Candle,0
2018,Central Jakarta,Burning Trash,25
2018,Central Jakarta,Cigarette,9
2018,Central Jakarta,Others,21
2018,West Jakarta,Electricity,209
2018,West Jakarta,Gas,29
2018,West Jakarta,Candle,2
2018,West Jakarta,Burning Trash,70
2018,West Jakarta,Cigarette,15
2018,West Jakarta,Others,36
2018,North Jakarta,Electricity,153
2018,North Jakarta,Gas,23
2018,North Jakarta,Candle,1
2018,North Jakarta,Burning Trash,46
2018,North Jakarta,Cigarette,11
2018,North Jakarta,Others,30
2019,Thousand Islands,Electricity,8
2019,Thousand Islands,Gas,3
2019,Thousand Islands,Candle,0
2019,Thousand Islands,Burning Trash,13
2019,Thousand Islands,Cigarette,9
2019,Thousand Islands,Others,3
2019,South Jakarta,Electricity,325
2019,South Jakarta,Gas,65
2019,South Jakarta,Candle,6
2019,South Jakarta,Burning Trash,73
2019,South Jakarta,Cigarette,20
2019,South Jakarta,Others,54
2019,East Jakarta,Electricity,294
2019,East Jakarta,Gas,56
2019,East Jakarta,Candle,7
2019,East Jakarta,Burning Trash,103
2019,East Jakarta,Cigarette,46
2019,East Jakarta,Others,71
2019,Central Jakarta,Electricity,182
2019,Central Jakarta,Gas,24
2019,Central Jakarta,Candle,4
2019,Central Jakarta,Burning Trash,22
2019,Central Jakarta,Cigarette,14
2019,Central Jakarta,Others,28
2019,West Jakarta,Electricity,211
2019,West Jakarta,Gas,33
2019,West Jakarta,Candle,6
2019,West Jakarta,Burning Trash,98
2019,West Jakarta,Cigarette,22
2019,West Jakarta,Others,46
2019,North Jakarta,Electricity,182
2019,North Jakarta,Gas,19
2019,North Jakarta,Candle,6
2019,North Jakarta,Burning Trash,75
2019,North Jakarta,Cigarette,23
2019,North Jakarta,Others,32
2020,Thousand Islands,Electricity,1
2020,Thousand Islands,Gas,5
2020,Thousand Islands,Candle,0
2020,Thousand Islands,Burning Trash,0
2020,Thousand Islands,Cigarette,2
2020,Thousand Islands,Others,1
2020,South Jakarta,Electricity,266
2020,South Jakarta,Gas,57
2020,South Jakarta,Candle,0
2020,South Jakarta,Burning Trash,14
2020,South Jakarta,Cigarette,5
2020,South Jakarta,Others,55
2020,East Jakarta,Electricity,202
2020,East Jakarta,Gas,32
2020,East Jakarta,Candle,0
2020,East Jakarta,Burning Trash,38
2020,East Jakarta,Cigarette,13
2020,East Jakarta,Others,64
2020,Central Jakarta,Electricity,108
2020,Central Jakarta,Gas,21
2020,Central Jakarta,Candle,3
2020,Central Jakarta,Burning Trash,8
2020,Central Jakarta,Cigarette,1
2020,Central Jakarta,Others,19
2020,West Jakarta,Electricity,201
2020,West Jakarta,Gas,32
2020,West Jakarta,Candle,1
2020,West Jakarta,Burning Trash,36
2020,West Jakarta,Cigarette,10
2020,West Jakarta,Others,53
2020,North Jakarta,Electricity,160
2020,North Jakarta,Gas,33
2020,North Jakarta,Candle,3
2020,North Jakarta,Burning Trash,27
2020,North Jakarta,Cigarette,5
2020,North Jakarta,Others,29
